"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCK",5.31160134859149e-59,4.77648473957667,0.535,0.05,1.0623202697183e-55
"CORO1A",5.82736944846645e-62,4.7725008757603,0.864,0.964,1.16547388969329e-58
"BCL3",4.61637248673022e-157,4.76873079814113,0.875,0.075,9.23274497346045e-154
"S100A8",1.32628041386451e-78,4.73641273312276,0.641,0,2.65256082772902e-75
"HEPACAM2",2.33557954816702e-59,4.73556213952729,0.803,0.961,4.67115909633404e-56
"IL1RL1",8.39272073635507e-99,4.71439825283423,0.867,0.961,1.67854414727101e-95
"CD53",8.94505318723372e-27,4.68840466422314,0.925,0.961,1.78901063744674e-23
"FLT1",1.61999320220449e-100,4.66098101529972,0.872,0.95,3.23998640440898e-97
"NRG1",1.8192834342006e-90,4.64906541653248,0.85,0.914,3.63856686840121e-87
"RSPO3",5.60810866492456e-98,4.63874789406634,0.866,0.961,1.12162173298491e-94
"VAV3",7.72459189811131e-73,4.6370777453618,0.707,0.065,1.54491837962226e-69
"TGFBR3",1.92772939438566e-75,4.63066639296382,0.749,0.072,3.85545878877132e-72
"SCD",1.85041890541589e-12,4.61932022554932,0.625,0.939,3.70083781083178e-09
"SLFN5",1.15900514213091e-73,4.58271980497559,0.695,0.165,2.31801028426182e-70
"MPEG1",7.25585275354494e-78,4.551152248633,0.637,0,1.45117055070899e-74
"CCL19",9.22967522535323e-98,4.54237413252092,0.866,0.961,1.84593504507065e-94
"TCEAL7",1.13336558299646e-97,4.537628053876,0.866,0.961,2.26673116599292e-94
"ATP6AP2",3.20774738822264e-92,4.52423432482788,0.798,0.204,6.41549477644529e-89
"GLIPR1",2.27092517935418e-106,4.52265944092311,0.89,0.961,4.54185035870837e-103
"IL6",1.12572531288988e-97,4.51428558143393,0.865,0.961,2.25145062577976e-94
"CCL4L2",5.79250115326542e-88,4.47966698794894,0.685,0,1.15850023065308e-84
"INSM1",4.08470636238755e-81,4.44735463324394,0.839,0.961,8.1694127247751e-78
"PDE4B",6.18131613322144e-105,4.43111944175652,0.889,0.961,1.23626322664429e-101
"PHACTR1",1.88427672003444e-42,4.41123721279055,0.937,0.961,3.76855344006888e-39
"HLA-DQB1",4.16527516625535e-23,4.40211752134198,0.666,0.961,8.3305503325107e-20
"MSRB2",2.55986525428893e-74,4.37088129470921,0.707,0.079,5.11973050857785e-71
"FLNA",3.7807219260576e-147,4.35868229937291,0.876,0.068,7.5614438521152e-144
"C1QTNF4",3.37249223528646e-14,4.34893549463939,0.367,0.961,6.74498447057291e-11
"GHRL",4.07333896911764e-58,4.31646867452885,0.83,0.964,8.14667793823529e-55
"CLDN5",8.70388757053564e-33,4.3120459199419,0.726,0.961,1.74077751410713e-29
"CTHRC1",3.76733637052314e-43,4.290568090124,0.753,0.961,7.53467274104628e-40
"HLA-DPB1",2.70082372611789e-73,4.28092038082563,0.953,0.961,5.40164745223578e-70
"IFI16",4.61602016228681e-154,4.2795828679565,0.967,0.964,9.23204032457362e-151
"HLA-C",1.34755786738986e-30,4.24465895607527,0.719,0.487,2.69511573477972e-27
"SERPINE2",1.9322844383083e-25,4.21057012711306,0.738,0.964,3.86456887661661e-22
"CD36",7.93343574553347e-09,4.21051685040234,0.405,0.914,1.58668714910669e-05
"PDE7B",1.85937873498618e-169,4.20294226620427,0.867,0.079,3.71875746997236e-166
"BHMT",1.72902048297614e-33,4.20032977083881,0.705,0.961,3.45804096595228e-30
"ICAM1",2.16680762915157e-74,4.20031926758279,0.865,0.961,4.33361525830314e-71
"ALOX5AP",2.00663772371168e-38,4.1729151437507,0.305,0.964,4.01327544742337e-35
"NTS",2.04198923139644e-90,4.13300619833808,0.826,0.681,4.08397846279288e-87
"TUBB2B",4.47225609519606e-98,4.1141540561977,0.867,0.961,8.94451219039211e-95
"NDRG4",5.49850869533014e-87,4.10175079555026,0.858,0.957,1.09970173906603e-83
"ISG15",3.24684754356168e-109,4.09270291740022,0.935,0.964,6.49369508712335e-106
"CXCL14",9.82305808575639e-98,4.08043254587957,0.865,0.961,1.96461161715128e-94
"NEK9",9.50823956696028e-94,4.07677410119291,0.871,0.964,1.90164791339206e-90
"LDLRAD4",4.29736964999832e-54,4.06125717898657,0.78,0.961,8.59473929999664e-51
"MYL4",5.45297076860936e-91,4.04231791731564,0.698,0,1.09059415372187e-87
"NANOS1",3.88635978133052e-29,4.00983576335775,0.679,0.796,7.77271956266105e-26
"HAS1",6.24214946469362e-82,4.00369568549107,0.839,0.961,1.24842989293872e-78
"TOP2A",1.71601491356113e-99,3.98827314587185,0.87,0.961,3.43202982712226e-96
"CNNM1",1.55336972244849e-20,3.98681858353967,0.337,0.928,3.10673944489698e-17
"CYP27A1",1.42298751717835e-10,3.98098495811449,0.477,0.022,2.84597503435671e-07
"TBC1D4",4.15313251044329e-140,3.97906000723339,0.853,0.054,8.30626502088658e-137
"TSPAN8",2.37827089882152e-127,3.97679351791899,0.604,0.05,4.75654179764304e-124
"ARL6IP1",1.41003498400153e-81,3.96795012341752,0.8,0.409,2.82006996800307e-78
"CHL1",1.53846702099185e-47,3.9500241900265,0.753,0.961,3.07693404198369e-44
"DKK3",1.83240093268615e-97,3.94188471752643,0.865,0.961,3.66480186537229e-94
"CCL2",3.27344041723301e-100,3.93203437226718,0.871,0.961,6.54688083446602e-97
"HLA-DRB5",0,3.92442547503003,0.05,0.961,0
"CTSS",4.8273832422737e-91,3.91800682437673,0.893,0.961,9.6547664845474e-88
"RND1",1.68393660664485e-93,3.91580724692264,0.861,0.875,3.3678732132897e-90
"GLRX",3.47254093718639e-08,3.91559956094069,0.339,0.108,6.94508187437279e-05
"BUD31",3.06989911894995e-125,3.91417957027683,0.91,0.563,6.1397982378999e-122
"CCL4",1.87777918305914e-21,3.9051303056352,0.66,0.961,3.75555836611828e-18
"DAPP1",8.92616535953297e-18,3.9005053637753,0.64,0.961,1.78523307190659e-14
"DOK5",6.50890348145569e-98,3.89739970766819,0.866,0.961,1.30178069629114e-94
"TMEM190",6.28263946634265e-96,3.88572872086904,0.866,0.961,1.25652789326853e-92
"PPFIA2",6.9542490996512e-94,3.87326158596491,0.859,0.961,1.39084981993024e-90
"JUN",8.63353770614696e-99,3.8695660528732,0.88,0.943,1.72670754122939e-95
