"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCNB1",1.43903552273443e-149,1.02326373875811,0.078,0.961,2.87807104546886e-146
"LRIG1",2.48447650068277e-86,1.016824237872,0.085,0.168,4.96895300136555e-83
"HSPB1",0.760096595991993,1.00444500341804,0.807,1,1
"KCNE4",8.98978944691135e-189,1.00399685767978,0.039,0.961,1.79795788938227e-185
"TCF4",5.96560612612183e-68,1.003353910122,0.193,0.964,1.19312122522437e-64
"MMRN1",5.74000358936615e-193,1.00281798274378,0.032,0.961,1.14800071787323e-189
"ARG2",2.19789010755022e-46,1.00241639970746,0.252,0.964,4.39578021510044e-43
"TIMM8B",0.0299232853010273,0.999738464228947,0.593,0.982,1
"GNG5",1.54755258588775e-13,0.999308391225423,0.858,0.996,3.0951051717755e-10
"NDUFS7",0.0113268438773423,0.992178283671812,0.463,0.978,1
"PHLDA1",8.56085957756912e-15,0.98813078871983,0.387,0.971,1.71217191551382e-11
"HEMGN",1.15539673830371e-229,0.985186435289221,0.015,0.961,2.31079347660743e-226
"ACTB",3.39526188177096e-39,0.98331888294948,0.997,1,6.79052376354192e-36
"TAGLN",8.33892380555232e-173,0.973446423967252,0.059,0.961,1.66778476111046e-169
"EIF5A",3.43379696638029e-25,0.973375833489601,0.836,0.989,6.86759393276059e-22
"SCG5",2.81727425191263e-21,0.968651165782917,0.926,1,5.63454850382526e-18
"PSMB1",7.7400223582957e-09,0.96077821264385,0.748,0.993,1.54800447165914e-05
"EDF1",6.76763186693548e-15,0.958025347865224,0.79,1,1.3535263733871e-11
"HIST1H1D",0.00162036026181147,0.950255182630729,0.016,0.05,1
"HIST1H2BG",3.54590484704067e-103,0.946148829563304,0.13,0.964,7.09180969408134e-100
"DAD1",3.96187850954415e-06,0.943918496854836,0.659,1,0.0079237570190883
"TUBA1C",7.23232909959601e-08,0.941254196312043,0.428,0.986,0.00014464658199192
"CLDN3",0.000729606766726039,0.93980732087612,0.618,0.989,1
"STC2",5.96000445153071e-135,0.936188956080621,0.09,0.961,1.19200089030614e-131
"NTNG1",2.57890808982278e-212,0.935580383376671,0.015,0.961,5.15781617964556e-209
"PDGFB",8.34130352999602e-184,0.935319597934042,0.047,0.964,1.6682607059992e-180
"KISS1R",9.91932823459625e-189,0.932614973958253,0.035,0.964,1.98386564691925e-185
"YPEL3",3.7620226170968e-19,0.931675067505516,0.346,0.982,7.5240452341936e-16
"MRPL18",0.252213117747816,0.928304898302653,0.559,0.993,1
"HMGB2",2.86907390895577e-12,0.925616720266932,0.383,0.968,5.73814781791154e-09
"UACA",1.10280096583617e-139,0.92499908569001,0.087,0.964,2.20560193167235e-136
"TSPYL1",0.802975498628201,0.924952137303822,0.478,0.871,1
"UNC5C",1.82052893950354e-225,0.917775273780074,0.007,0.961,3.64105787900709e-222
"ACP5",2.79391286249504e-114,0.916153325780748,0.016,0.129,5.58782572499009e-111
"TMEM147",0.962276183729592,0.913884455375357,0.457,0.849,1
"MAP3K8",2.78634213177571e-86,0.909249062490025,0.16,0.964,5.57268426355141e-83
