"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERRFI1",7.44011572694945e-09,-0.698617415179157,0.862,0.464,1.48802314538989e-05
"HADH",5.08881604616604e-56,-0.700813886961337,0.78,0.238,1.01776320923321e-52
"ACTB",7.39511147572426e-90,-0.704816816819939,0.991,0.997,1.47902229514485e-86
"JUND",4.49843721334154e-38,-0.704875537794087,0.948,0.959,8.99687442668309e-35
"TMBIM6",1.32120046246933e-60,-0.706039728976908,0.91,0.887,2.64240092493866e-57
"FAM178B",2.11342039257269e-32,-0.706142148889844,0.14,0.002,4.22684078514539e-29
"TSPAN8",4.8077831370234e-47,-0.707510619312093,0.604,0.05,9.61556627404679e-44
"REEP5",1.37790564480148e-35,-0.707628821342589,0.767,0.717,2.75581128960296e-32
"SNCA",4.5378812017949e-128,-0.708709096860391,0.231,0.167,9.07576240358981e-125
"ZFHX3",5.27094338853287e-72,-0.70897961791619,0.356,0.298,1.05418867770657e-68
"MIF",4.08089158025528e-23,-0.709729998174367,0.932,0.874,8.16178316051056e-20
"HSPE1",6.65742562922058e-11,-0.70986650968981,0.911,0.938,1.33148512584412e-07
"TUBB4B",8.40267080856177e-42,-0.714398661361826,0.904,0.86,1.68053416171235e-38
"UBL5",9.34214612969767e-88,-0.716051712855608,0.919,0.949,1.86842922593953e-84
"CAV2",6.06238602154519e-140,-0.718228775692322,0.865,0.203,1.21247720430904e-136
"LYSMD2",0.730238614386598,-0.720287182194919,0.73,0.417,1
"FAM200B",5.14980181297234e-50,-0.720770700947747,0.466,0.445,1.02996036259447e-46
"MIDN",4.61045906452681e-19,-0.721409542203132,0.81,0.683,9.22091812905361e-16
"THSD7A",1.23803323642193e-242,-0.723288160387036,0.866,0.107,2.47606647284387e-239
"AZU1",1.08353844532936e-143,-0.723522320347479,0.484,0.025,2.16707689065873e-140
"OLFM4",3.06320700421573e-322,-0.724447623289302,0.772,0.013,6.12641400843146e-319
"MMP1",0,-0.726183149848053,0.861,0.036,0
"TFRC",4.37407295482145e-16,-0.730375550827906,0.881,0.435,8.7481459096429e-13
"HERPUD1",2.36523388560983e-06,-0.736204976512018,0.836,0.725,0.00473046777121965
"PEBP1",3.08517937315223e-45,-0.738811690253017,0.847,0.792,6.17035874630446e-42
"UBE2S",1.00442907351338e-21,-0.739178429416406,0.863,0.733,2.00885814702676e-18
"NDUFB3",2.06601776102749e-56,-0.739303141741764,0.465,0.439,4.13203552205498e-53
"CKLF",4.77138194313315e-93,-0.739303522422384,0.279,0.177,9.5427638862663e-90
"ERP29",1.56710017421113e-68,-0.742105704139355,0.887,0.842,3.13420034842225e-65
"TMED10",6.95506083409886e-36,-0.743077683841461,0.843,0.776,1.39101216681977e-32
"ASB9",0.0200529039007116,-0.743160720011103,0.544,0.159,1
"MAFB",0.169059423848384,-0.745226583823415,0.844,0.612,1
"MORN2",5.41663190076832e-16,-0.745409494113638,0.549,0.4,1.08332638015366e-12
"UQCRQ",1.03142389511516e-43,-0.746022725774034,0.863,0.809,2.06284779023032e-40
"ORMDL2",1.01647220497879e-106,-0.746141196508836,0.286,0.233,2.03294440995757e-103
"KATNBL1",5.27360773277737e-15,-0.746847737589353,0.884,0.428,1.05472154655547e-11
"SPINK2",2.2199634673398e-261,-0.747592671172314,0.084,0.015,4.43992693467959e-258
"TPST2",9.37660604489974e-167,-0.747751301131386,0.8,0.111,1.87532120897995e-163
"BPGM",7.8184460029037e-91,-0.748764822817937,0.857,0.263,1.56368920058074e-87
"DUSP2",2.58008635017691e-106,-0.749560479411319,0.871,0.298,5.16017270035383e-103
"SMIM1",1.47231626265479e-214,-0.750336939861735,0.125,0.06,2.94463252530958e-211
"NDUFB7",1.16401785531024e-27,-0.761368864221025,0.766,0.646,2.32803571062049e-24
"GHITM",4.30970466707903e-26,-0.763683472103033,0.768,0.66,8.61940933415806e-23
"FXYD6",7.52634829643163e-22,-0.764988500585797,0.539,0.422,1.50526965928633e-18
"SCAND1",9.24003168035357e-20,-0.765387655464605,0.72,0.558,1.84800633607071e-16
"CD59",7.21570820844562e-11,-0.766959325204801,0.796,0.661,1.44314164168912e-07
"STK32C",2.1328452381608e-142,-0.76708087162226,0.217,0.143,4.26569047632161e-139
"COX17",2.44684606831512e-38,-0.769903087825501,0.804,0.746,4.89369213663025e-35
"NUDT16",1.12378425792745e-07,-0.771019675298496,0.573,0.141,0.00022475685158549
"NDUFAB1",3.37131407428197e-25,-0.772012932604157,0.791,0.674,6.74262814856394e-22
"PAPSS2",8.6900363235853e-49,-0.772027568629716,0.356,0.197,1.73800726471706e-45
"AP2M1",3.29410756087097e-28,-0.773852071938985,0.701,0.609,6.58821512174193e-25
"ARL4A",0.276209234757829,-0.774916013505334,0.873,0.542,1
"C1orf122",1.08446248511549e-14,-0.775032470886359,0.71,0.564,2.16892497023099e-11
"C9orf16",3.09565999436874e-31,-0.775942764786208,0.719,0.642,6.19131998873749e-28
"MSRB2",0.0509577468754143,-0.779543467823733,0.707,0.368,1
"HHEX",5.08910267521866e-188,-0.784921346628466,0.89,0.176,1.01782053504373e-184
"MRPL52",1.13187803473254e-14,-0.786715914570094,0.652,0.457,2.26375606946507e-11
"SLC38A1",8.19557912403685e-16,-0.788604418166304,0.919,0.43,1.63911582480737e-12
"MARCKSL1",5.35839706519547e-23,-0.789080611575862,0.92,0.709,1.07167941303909e-19
"RNF144A",2.49384776199284e-285,-0.78947135932343,0.079,0.053,4.98769552398567e-282
"CD63",1.10091527360166e-31,-0.790460217782339,0.9,0.945,2.20183054720332e-28
"NDUFB5",4.40961554086291e-58,-0.792660407743505,0.446,0.395,8.81923108172582e-55
"C11orf1",9.85353770571362e-148,-0.794880518767537,0.22,0.186,1.97070754114272e-144
"TMEM61",5.39725288050465e-10,-0.795600019956066,0.459,0.196,1.07945057610093e-06
"NDUFB1",9.42454613713881e-34,-0.795941557841,0.74,0.671,1.88490922742776e-30
"RABAC1",1.3901492746439e-53,-0.796023021508893,0.826,0.784,2.78029854928779e-50
"H1FX",3.67103727852234e-51,-0.796027150039634,0.95,0.768,7.34207455704468e-48
"KCNH2",4.72666364068825e-86,-0.797835579486409,0.287,0.187,9.4533272813765e-83
"MNX1",1.50912835913832e-49,-0.801500725737037,0.357,0.214,3.01825671827663e-46
"MYL6",5.41309640956556e-130,-0.803289130887785,0.983,0.989,1.08261928191311e-126
"SEMA6D",5.90099422943611e-178,-0.807191996887377,0.844,0.148,1.18019884588722e-174
"EGR3",3.25900122618718e-89,-0.807895839393908,0.867,0.279,6.51800245237435e-86
"COMTD1",3.4672609718086e-97,-0.808918600334159,0.273,0.182,6.93452194361721e-94
"WNT4",5.71812101882007e-15,-0.809434948109446,0.427,0.177,1.14362420376401e-11
"NKX2-2",0.111923018495906,-0.810279490699298,0.691,0.371,1
"HPGDS",9.88131291682493e-324,-0.810854666521143,0.771,0.013,1.97626258336499e-320
"DPM3",7.3371133116145e-15,-0.815818873175842,0.558,0.385,1.4674226623229e-11
"MAFA",1.06261055656474e-125,-0.815967138952876,0.676,0.062,2.12522111312949e-122
"SMOC1",1.87469181333132e-36,-0.816502406579878,0.331,0.076,3.74938362666263e-33
"TSC2",9.52797307514917e-164,-0.816571190218934,0.191,0.124,1.90559461502983e-160
"CADPS2",1.3288437238579e-237,-0.816807014339012,0.803,0.049,2.65768744771579e-234
"SOCS1",4.41746624219347e-121,-0.818612933646847,0.223,0.062,8.83493248438695e-118
"GABARAPL2",9.17571716529099e-68,-0.819737734618719,0.806,0.854,1.8351434330582e-64
"MRPL51",9.82565512642537e-30,-0.82077826356158,0.854,0.71,1.96513102528507e-26
"BTG2",4.37677068540944e-06,-0.822104351216769,0.758,0.629,0.00875354137081888
"COX6C",5.3949473798549e-95,-0.822985164347745,0.934,0.91,1.07898947597098e-91
"ZNF804A",6.8234920252402e-295,-0.825152358658181,0.865,0.088,1.36469840504804e-291
"INSIG1",0.00129582451640279,-0.825932437520507,0.755,0.434,1
"NUDT14",1.87871710696982e-83,-0.827804554698946,0.329,0.275,3.75743421393965e-80
"ZNF331",3.53244349699252e-56,-0.828458752966809,0.442,0.417,7.06488699398504e-53
"CLDN14",0,-0.828568612341476,0.771,0.011,0
"NDUFS7",1.84121867285996e-44,-0.829612513374804,0.525,0.463,3.68243734571992e-41
"MUM1",9.07377248676845e-67,-0.833072332676246,0.301,0.114,1.81475449735369e-63
"RASGRP3",6.30149786335641e-205,-0.83326306227191,0.861,0.143,1.26029957267128e-201
"PFN2",6.76861776257078e-19,-0.834547411358518,0.578,0.454,1.35372355251416e-15
"SOD1",7.10014407412193e-65,-0.83494487796794,0.859,0.859,1.42002881482439e-61
"TOMM7",1.9508488523249e-47,-0.836807017911891,0.917,0.845,3.9016977046498e-44
"GNMT",4.08126968067381e-41,-0.8377052607111,0.191,0.009,8.16253936134761e-38
"GABARAP",6.0504830695773e-28,-0.838296739718349,0.938,0.824,1.21009661391546e-24
"GPR157",4.06511652427147e-05,-0.838963851029697,0.385,0.009,0.0813023304854294
"TNFRSF18",5.956496556627e-113,-0.839048268634847,0.751,0.118,1.1912993113254e-109
"TMED2",6.67559970934665e-33,-0.839535875906807,0.763,0.67,1.33511994186933e-29
"FOSB",1.25591077716905e-10,-0.841049575203865,0.871,0.615,2.5118215543381e-07
"FKBP4",1.80093828440972e-13,-0.841403478610841,0.88,0.65,3.60187656881944e-10
"PIGP",4.61785558394915e-24,-0.841938534660989,0.514,0.374,9.2357111678983e-21
"CD27-AS1",1.66089992090324e-166,-0.84264455511841,0.816,0.125,3.32179984180647e-163
