"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HBA2",2.2029285709952e-14,4.76009446701044,0.347,0.961,4.40585714199039e-11
"MEIS2",6.01916035896696e-55,4.74301155975203,0.805,0.968,1.20383207179339e-51
"PIPOX",3.28910186302996e-94,4.74127411653432,0.142,0.961,6.57820372605991e-91
"SCD",3.81428117098183e-16,4.72804381384268,0.323,0.939,7.62856234196366e-13
"S100A2",2.39613671002777e-49,4.7117279747435,0.228,0.964,4.79227342005554e-46
"RABGGTB",2.14545787385123e-19,4.69570103883042,0.349,0.491,4.29091574770245e-16
"TSPAN8",4.7860041468589e-160,4.68430413723108,0.05,0.05,9.5720082937178e-157
"ID4",6.71073699917807e-42,4.64523227665735,0.764,0.971,1.34214739983561e-38
"GUCA2B",7.24920307870903e-06,4.59264671938947,0.068,0,0.0144984061574181
"C1orf122",1.50817534940477e-52,4.58115045038553,0.564,0.448,3.01635069880954e-49
"SLC17A6",3.38091902707909e-105,4.57752380328249,0.042,0.14,6.76183805415817e-102
"CDCP1",9.74279697543479e-88,4.56581604838699,0.477,0.201,1.94855939508696e-84
"MUM1",3.08812727895761e-175,4.54941099074653,0.114,0.029,6.17625455791522e-172
"MAFB",9.24764674751718e-10,4.54217886026272,0.612,0.961,1.84952934950344e-06
"S100A6",4.26376381013018e-84,4.52510230385965,0.938,1,8.52752762026037e-81
"TCEAL7",7.21053349691124e-101,4.51358463702381,0.133,0.961,1.44210669938225e-97
"FLNA",6.21108494449943e-132,4.48211234466784,0.266,0.068,1.24221698889989e-128
"MALL",1.52530983612954e-96,4.446639180174,0.139,0.961,3.05061967225907e-93
"JUN",1.74724864243496e-66,4.43365319644619,0.875,0.943,3.49449728486991e-63
"NTS",1.14934330735032e-97,4.43322168138935,0.059,0.681,2.29868661470064e-94
"CYP27A1",1.84377723236253e-188,4.43028870146374,0.039,0.022,3.68755446472505e-185
"RFX6",2.32878426535677e-29,4.40600018142746,0.284,0.961,4.65756853071354e-26
"PPFIA2",1.1016542705469e-142,4.38734902859255,0.082,0.961,2.2033085410938e-139
"TIMP1",2.67900379843306e-28,4.36900133779895,0.715,0.975,5.35800759686612e-25
"VIM",1.47810120803923e-35,4.34312124115406,0.773,0.889,2.95620241607846e-32
"C15orf48",1.2358221669772e-91,4.33919878587673,0.297,0.158,2.4716443339544e-88
"BEX1",1.48657489722648e-128,4.33508318195954,0.979,0.996,2.97314979445296e-125
"TBC1D4",4.5732276796682e-142,4.33313878742578,0.236,0.054,9.14645535933641e-139
"ELAVL4",3.8026835232239e-13,4.31437746828351,0.353,0.961,7.6053670464478e-10
"TSC2",4.19095052658193e-102,4.31064700589713,0.124,0.147,8.38190105316385e-99
"F10",1.77174400088023e-06,4.30426068651072,0.399,0.961,0.00354348800176045
"KHDRBS2",8.12024227579505e-124,4.3000057335598,0.075,0.921,1.62404845515901e-120
"HBA1",3.67321975915389e-29,4.29127243905184,0.285,0.961,7.34643951830778e-26
"AMIGO2",3.03068805577617e-89,4.27647540761725,0.15,0.961,6.06137611155235e-86
"STMN1",5.98753278901008e-92,4.26496848680792,0.9,0.964,1.19750655780202e-88
"SOCS2",4.41357834709253e-161,4.25880809560251,0.112,0.05,8.82715669418506e-158
"SAMD5",5.4565884108464e-07,4.24950411203949,0.395,0.961,0.00109131768216928
"GOLGA7B",2.75943580956517e-111,4.24922032929683,0.211,0.108,5.51887161913033e-108
"ETV1",1.89304750489414e-09,4.22362685598644,0.377,0.961,3.78609500978828e-06
"JSRP1",5.75369514594268e-71,4.22132865740274,0.179,0.961,1.15073902918854e-67
"ROBO2",3.27285668988737e-67,4.21610223213357,0.186,0.961,6.54571337977475e-64
"UNC5B-AS1",4.18844921925802e-202,4.17962569914226,0.02,0.011,8.37689843851603e-199
"GRM7",9.89098018588823e-185,4.16583250795049,0.009,0.05,1.97819603717765e-181
"OLFM2",5.00785327647896e-54,4.1379319785443,0.216,0.961,1.00157065529579e-50
"PALLD",2.98657124456293e-08,4.13304513369771,0.61,0.968,5.97314248912586e-05
"CRIP2",6.53027935200652e-12,4.12973554565533,0.629,0.968,1.3060558704013e-08
"EGR3",8.93300215448048e-31,4.12513701686837,0.279,0.961,1.7866004308961e-27
"CD36",2.15365141437078e-120,4.10351820535006,0.074,0.914,4.30730282874156e-117
"GLRX",8.67691522864323e-119,4.08538222820705,0.179,0.108,1.73538304572865e-115
"MAGEH1",5.29768304062046e-09,4.08532425418695,0.383,0.971,1.05953660812409e-05
"LOXL4",1.89071830330016e-163,4.07972420869524,0.034,0.05,3.78143660660032e-160
"RASGEF1B",4.16323344870454e-37,4.07141878175026,0.26,0.961,8.32646689740908e-34
"RNF213",1.063797094376e-129,4.06592172146308,0.193,0.072,2.127594188752e-126
"NLRP1",3.96181591326004e-22,4.06017555201206,0.313,0.964,7.92363182652007e-19
"PDE7B",1.03260606166985e-158,4.01654263735328,0.04,0.079,2.06521212333969e-155
"CELF2",2.90850927951584e-55,4.00680034845653,0.115,0.835,5.81701855903169e-52
"KCTD12",1.23804334269544e-17,4.00444438805654,0.661,0.961,2.47608668539087e-14
"CADM2",2.56108443296477e-91,3.95203916148762,0.147,0.961,5.12216886592953e-88
"B3GALT1",1.47386621655642e-155,3.93921435622397,0.068,0.961,2.94773243311283e-152
"CELF4",3.45235417474182e-06,3.92666246767227,0.402,0.961,0.00690470834948364
"APOH",1.50989362783387e-16,3.91634957912506,0.111,0.394,3.01978725566774e-13
"SMOC1",1.88953406501912e-102,3.90350843820203,0.076,0.889,3.77906813003824e-99
"CDH6",1.63567795130249e-170,3.89029640399952,0.053,0.961,3.27135590260497e-167
"TUBA4A",1.43825996723067e-31,3.88880711925511,0.73,0.971,2.87651993446134e-28
"PFN2",4.03889764405675e-58,3.8883616178171,0.454,0.333,8.07779528811351e-55
"CCK",2.48424839136904e-179,3.8837803453571,0.042,0.05,4.96849678273807e-176
"MMP10",2.81693451039814e-144,3.87728599391929,0.091,0.961,5.63386902079629e-141
"HBB",1.87457837618182e-99,3.87211069211822,0.135,0.961,3.74915675236365e-96
"ITGA10",4.00841388576979e-218,3.8666507935494,0.046,0,8.01682777153957e-215
"SPSB1",2.9015533058323e-35,3.85957708954152,0.237,0.344,5.80310661166461e-32
"PEMT",3.90982805742813e-65,3.85259704445406,0.32,0.254,7.81965611485626e-62
"IFI6",1.2996210412931e-109,3.84167025714896,0.271,0.125,2.59924208258621e-106
"C1orf194",1.23369717513309e-188,3.83969359717999,0.055,0.011,2.46739435026618e-185
"BUD31",1.36483801580394e-72,3.79875286794733,0.759,0.563,2.72967603160788e-69
"LMO7",4.32170596725508e-11,3.79380965907057,0.628,0.971,8.64341193451015e-08
"MXD4",1.32560178501077e-68,3.79051975525592,0.327,0.244,2.65120357002154e-65
"GPX4",1.28578749780184e-93,3.78083287220339,0.877,0.706,2.57157499560368e-90
"LMCD1",1.11285417142048e-38,3.77336638040793,0.258,0.971,2.22570834284097e-35
