"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TGM2",6.94506516206154e-277,3.77036319670949,0.793,0.017,1.38901303241231e-273
"MX1",1.71223016043157e-27,3.75406267162339,0.579,0.025,3.42446032086314e-24
"S100A12",1.38920545476185e-224,3.75223397900039,0.611,0,2.77841090952371e-221
"SOX18",8.42455866768085e-258,3.7444259108809,0.676,0.017,1.68491173353617e-254
"CXCL14",0,3.70942151167332,0.865,0.024,0
"TNFAIP6",0,3.67168766481205,0.866,0.034,0
"CCL3",0,3.66508667429595,0.867,0.021,0
"TNC",0,3.66038001944086,0.866,0.027,0
"ADAMTS9",0,3.64586623005474,0.867,0.03,0
"IFITM3",0,3.60362307600485,0.876,0.055,0
"CBS",4.33130487294266e-152,3.57898082864452,0.686,0.002,8.66260974588533e-149
"FAM43A",0,3.56508632935501,0.879,0.037,0
"SPTA1",4.47195760734143e-09,3.52662082762553,0.043,0.003,8.94391521468285e-06
"CTRC",9.30004734944238e-26,3.49847817329442,0.338,0.06,1.86000946988848e-22
"TNFRSF10B",0,3.49821652552442,0.867,0.035,0
"ZEB2",0,3.49416425263126,0.954,0.071,0
"APOD",1.05467132089963e-303,3.45888680362224,0.805,0.02,2.10934264179926e-300
"ADAMDEC1",5.16943775487985e-227,3.4414264615118,0.615,0,1.03388755097597e-223
"IL2RA",2.12670965970771e-245,3.43402185411835,0.648,0.002,4.25341931941541e-242
"KIRREL3",6.04428232080012e-227,3.42319219545378,0.752,0.001,1.20885646416002e-223
"IL32",0,3.39643198318074,0.869,0.073,0
"PHOX2A",1.2662987610082e-34,3.3902571783511,0.143,0,2.5325975220164e-31
"SLC22A1",9.92589626232496e-234,3.38580329268706,0.76,0.01,1.98517925246499e-230
"HES5",3.30280239481782e-277,3.38062652709737,0.72,0.028,6.60560478963564e-274
"BIRC3",0,3.37509911350877,0.887,0.048,0
"ZFP36L1",0,3.34302582296344,0.938,0.087,0
"PHACTR1",0,3.33458338532327,0.937,0.079,0
"XIRP1",0,3.32811106777748,0.798,0.009,0
"REG3A",0,3.32129157972308,0.77,0,0
"DIO3",0,3.29924988716557,0.866,0.026,0
"ARHGDIB",1.29561143663773e-218,3.28218937989643,0.866,0.098,2.59122287327545e-215
"FIBIN",0,3.27253565066375,0.864,0.016,0
"CLEC7A",9.11868522748806e-239,3.26947760093466,0.635,0,1.82373704549761e-235
"MSN",0,3.26280852336731,0.881,0.042,0
"HLA-DPB1",0,3.23650582592317,0.953,0.083,0
"CCR1",1.08766149803e-223,3.19892627586431,0.616,0.003,2.17532299606e-220
"CLEC2B",6.18108209431441e-174,3.18814768999639,0.73,0.026,1.23621641886288e-170
"TDO2",0,3.13971625896783,0.865,0.021,0
"LRRC38",0,3.13539261783913,0.862,0.011,0
"IL1RL1",0,3.11896070407856,0.867,0.035,0
"CXCL2",0,3.11274606563208,0.869,0.103,0
"TNFRSF1B",2.33156248432769e-282,3.0950341703829,0.715,0.022,4.66312496865538e-279
"CYP1B1",0,3.09187869218884,0.842,0.034,0
"PLTP",0,3.08883627340987,0.861,0.018,0
"PLA2G7",0,3.07720998386335,0.862,0.021,0
"PRSS1",2.84084954151657e-12,3.06034527369216,0.567,0.193,5.68169908303315e-09
"MS4A7",1.32320141074105e-224,3.03430073293678,0.622,0.005,2.64640282148209e-221
"CLDN5",1.35374581487191e-179,3.03393750787319,0.726,0.014,2.70749162974382e-176
"CRYBA4",1.86521508343375e-39,3.03317124953847,0.162,0,3.73043016686751e-36
"PLA2G1B",1.84954179555906e-18,3.00711946859661,0.351,0.034,3.69908359111812e-15
"IGFN1",0,2.9398393047738,0.864,0.021,0
"CCL20",0,2.93254118034228,0.827,0.035,0
"APOBEC3A",3.16223251654724e-223,2.93045340976744,0.611,0.001,6.32446503309449e-220
"HLA-B",1.33404762749324e-133,2.92901449307269,0.837,0.242,2.66809525498648e-130
"TNFAIP8",6.75992153198948e-219,2.91226122526834,0.811,0.074,1.3519843063979e-215
"ICAM3",9.19357963653311e-130,2.91055637204335,0.694,0.027,1.83871592730662e-126
"TNFAIP2",0,2.90955254790078,0.867,0.058,0
"KLK1",0,2.87195342488152,0.846,0.01,0
"NNMT",0,2.86916522041639,0.836,0.025,0
"TDRD9",1.28038461530526e-141,2.85559672741341,0.697,0.021,2.56076923061051e-138
"PNLIPRP1",4.30458182565877e-75,2.85321279112867,0.596,0.02,8.60916365131755e-72
"AGT",5.6521329800105e-172,2.84044424033187,0.152,0.009,1.1304265960021e-168
"CDC42EP1",0,2.82612119501006,0.867,0.037,0
"CD163",5.74215402292684e-261,2.82206532741232,0.68,0.018,1.14843080458537e-257
"ABCA1",0,2.80587644397009,0.857,0.035,0
"SOCS3",4.05057595260669e-316,2.78988830501572,0.869,0.102,8.10115190521338e-313
"PAPPA",0,2.78657490420991,0.847,0.022,0
"ISG20",2.1481584642804e-52,2.78034334556151,0.342,0.099,4.2963169285608e-49
"SERTAD4-AS1",2.67368186653582e-203,2.76694037719796,0.743,0.025,5.34736373307164e-200
"UST",0,2.74720362181393,0.855,0.003,0
"MEDAG",0,2.74384851305669,0.863,0.024,0
"BCL3",0,2.74078464072949,0.875,0.063,0
"GP2",4.03203163138291e-202,2.71193100792316,0.753,0.027,8.06406326276583e-199
"MYL4",1.39554351625721e-258,2.70781401196146,0.698,0.024,2.79108703251443e-255
"IKZF2",8.03760958088492e-299,2.7029041887687,0.858,0.066,1.60752191617698e-295
"LDHB",5.2690324974264e-256,2.69114329902844,0.861,0.077,1.05380649948528e-252
"AMY2B",4.29494392534055e-195,2.67353625032671,0.733,0.008,8.58988785068109e-192
"CALCB",1.88580592095858e-261,2.66959349178132,0.088,0.015,3.77161184191715e-258
"GPRC5A",0,2.6637033991102,0.867,0.047,0
"IL33",0,2.6613808586947,0.791,0.022,0
