"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UQCRQ",2.14973070337597e-36,1.29165994566188,0.863,0.907,4.29946140675194e-33
"PTMS",5.70635606133757e-25,1.29156418194985,0.872,0.993,1.14127121226751e-21
"OAZ1",7.39825901985371e-92,1.28902669922788,0.982,0.996,1.47965180397074e-88
"TMEM158",3.77852829780522e-61,1.28745951218583,0.863,0.964,7.55705659561044e-58
"WARS",2.57705751017573e-36,1.2874230414016,0.662,0.964,5.15411502035146e-33
"PLIN3",0.976471174011269,1.28493566486417,0.67,0.982,1
"CYP3A5",3.81661574801755e-07,1.28395936816582,0.283,0.065,0.00076332314960351
"MDK",1.91807316409431e-06,1.28390721664703,0.873,0.989,0.00383614632818863
"LRRC38",1.00883449263015e-90,1.28107721724508,0.862,0.961,2.0176689852603e-87
"CRYAB",3.92300066828065e-25,1.28086623466115,0.356,0.308,7.8460013365613e-22
"PCDH15",1.08128663325915e-16,1.27891389516061,0.658,0.961,2.1625732665183e-13
"PFN1",5.6367173726583e-39,1.27486397460037,0.952,1,1.12734347453166e-35
"CCL20",1.03810678177704e-39,1.27453003894854,0.827,0.968,2.07621356355408e-36
"CALR",1.1151343607775e-34,1.26863158372055,0.871,0.982,2.23026872155499e-31
"HSPA6",3.5670805093132e-95,1.26791784159993,0.867,0.968,7.13416101862641e-92
"COX7B",2.85667921667175e-38,1.26581305698567,0.858,0.996,5.7133584333435e-35
"VEGFA",0.0138967909955488,1.26137603422793,0.821,0.971,1
"TFPI",1.57178272571955e-41,1.25358568469237,0.869,0.978,3.14356545143909e-38
"MAP3K8",1.40575108452755e-45,1.25154322832317,0.876,0.964,2.81150216905509e-42
"PLAGL1",3.21356350472379e-18,1.25127919782811,0.874,0.971,6.42712700944757e-15
"CCR1",2.03575753865278e-12,1.24707961568913,0.616,0.961,4.07151507730556e-09
"LAPTM4A",1.281659844266e-25,1.24641033424493,0.891,0.989,2.56331968853201e-22
"SRP14",4.32778550976179e-99,1.24629768340496,0.989,1,8.65557101952358e-96
"MT-ATP8",4.61725308809859e-08,1.24572175688939,0.905,0.982,9.23450617619718e-05
"S100A2",1.65900606481362e-80,1.24504733128621,0.866,0.964,3.31801212962724e-77
"HSP90AA1",1.34499672417066e-55,1.24108779940463,0.976,1,2.68999344834132e-52
"MT-ND3",1.91163828552504e-93,1.24095492945166,0.999,0.993,3.82327657105007e-90
"PAPPA",1.0100432242738e-45,1.23858574840006,0.847,0.961,2.02008644854761e-42
"PRSS23",9.17517211367638e-23,1.23605444019587,0.627,0.975,1.83503442273528e-19
"TTC39A",2.82822268555775e-64,1.23019158401954,0.266,0.964,5.6564453711155e-61
"UPP1",8.27801967093968e-36,1.2290223255487,0.846,0.971,1.65560393418794e-32
"MMP1",1.34163568762153e-47,1.22675496705843,0.861,0.961,2.68327137524307e-44
"MT-ND4L",7.34334150690033e-49,1.22456522531039,0.943,0.978,1.46866830138007e-45
"ROBO2",1.35838222839858e-68,1.2241175541124,0.21,0.961,2.71676445679717e-65
"DLGAP1-AS1",4.34873574499295e-16,1.22288300939103,0.752,0.961,8.69747148998589e-13
"PPIA",1.53804200884824e-66,1.22213645688836,0.983,1,3.07608401769647e-63
"PRDX5",1.12623511987902e-28,1.22117615021047,0.845,0.867,2.25247023975804e-25
"MT-CO2",3.63494246222723e-118,1.22075511967083,1,0.996,7.26988492445446e-115
"MT-ND4",2.82078095060367e-111,1.21825646948515,0.998,0.996,5.64156190120733e-108
"IFRD1",1.9731237940897e-39,1.21784369037858,0.88,0.982,3.9462475881794e-36
"CHODL",3.45670384610659e-86,1.21653973007495,0.858,0.961,6.91340769221318e-83
"TIPARP",7.31007099113093e-42,1.21614463410799,0.878,0.978,1.46201419822619e-38
"LRIG1",9.75365178000368e-42,1.21263535589436,0.707,0.168,1.95073035600074e-38
"TUBB4B",7.31270037127864e-24,1.2104378704925,0.904,0.989,1.46254007425573e-20
"COX6C",7.9462968883582e-49,1.21017180637437,0.934,0.975,1.58925937767164e-45
"ZFP36",3.5711128681884e-37,1.20231495631795,0.885,0.964,7.1422257363768e-34
"TNFAIP8",1.44812972939313e-19,1.19833874999451,0.811,0.971,2.89625945878627e-16
"NME1",7.19648541449295e-08,1.19780812692879,0.882,0.968,0.000143929708289859
"FILIP1",8.2656589707661e-62,1.19279461543512,0.867,0.961,1.65313179415322e-58
"CD163",8.92380573523042e-87,1.19213106102214,0.68,0,1.78476114704608e-83
"EEF2",9.45388694790511e-90,1.19137635341406,0.973,0.996,1.89077738958102e-86
"UBL5",7.95769722745162e-53,1.18927259422722,0.919,0.996,1.59153944549032e-49
"SLC17A6",4.37656962986061e-36,1.17962466353867,0.154,0.14,8.75313925972122e-33
"LYVE1",4.22934032237242e-36,1.17863776330058,0.863,0.961,8.45868064474483e-33
"NEAT1",0.0310205477055809,1.17798942017053,0.662,0.857,1
"AP2M1",1.35624451915357e-06,1.17621855131734,0.701,0.975,0.00271248903830714
"TPI1",1.28616608716251e-21,1.17529773533103,0.813,0.986,2.57233217432503e-18
"REEP5",1.92486076136333e-15,1.17167949535869,0.767,0.903,3.84972152272665e-12
"AHSP",1.64833665511551e-152,1.17006965322651,0.17,0.961,3.29667331023101e-149
"MT-CO3",1.85120819573549e-115,1.16966739961535,0.999,0.996,3.70241639147098e-112
"TMEM59",1.76788953885679e-30,1.16899239087297,0.854,0.864,3.53577907771357e-27
"ALDH1A1",0.0796509185567217,1.16895848014983,0.76,0.996,1
"HBM",5.44399394428087e-73,1.16299230008006,0.594,0.961,1.08879878885617e-69
"CCNB1",7.65420124875344e-34,1.15930090132485,0.869,0.961,1.53084024975069e-30
"SESN2",0.673860760252494,1.15628921539821,0.464,0.401,1
"CXCL1",1.32785325418991e-76,1.1562025481384,0.868,0.968,2.65570650837982e-73
"NAA20",3.72075244663312e-07,1.15306624715933,0.69,0.796,0.000744150489326624
"SRSF9",1.44188649022611e-20,1.15201968873102,0.827,0.993,2.88377298045221e-17
"RGS16",2.75962767595128e-50,1.15116905981717,0.864,0.971,5.51925535190257e-47
"EIF4A1",1.05601726047487e-121,1.14624337162731,0.931,1,2.11203452094975e-118
"BTG3",5.4382488168353e-15,1.14430405889935,0.87,0.989,1.08764976336706e-11
"SAP18",1.83584587282342e-44,1.14136499152607,0.898,0.993,3.67169174564685e-41
"PDGFA",4.92661670790548e-39,1.14099677494,0.867,0.43,9.85323341581096e-36
"HMBS",2.86667453229408e-41,1.14048978288659,0.464,0.964,5.73334906458816e-38
"NMB",6.06382284731794e-17,1.13756796438673,0.382,0.971,1.21276456946359e-13
